title,movie_count,years
Robinson Crusoe,3,"[1954.0, 1997.0, 2016.0]"
Remote Control,3,"[1930.0, 1988.0, 1992.0]"
Resistance,3,"[2003.0, 2011.0, 2015.0]"
Restless,3,"[2000.0, 2011.0, 2012.0]"
Retribution,3,"[1967.0, 2006.0, 2015.0]"
Revenge,3,"[1978.0, 1989.0, 1990.0]"
Richard III,3,"[1912.0, 1955.0, 1995.0]"
Committed,3,"[1991.0, 2000.0, 2014.0]"
Public Enemies,3,"[1996.0, 2009.0, 2012.0]"
Pulse,3,"[1987.0, 2001.0, 2006.0]"
Purgatory,3,"[1998.0, 1999.0, 2014.0]"
Paranoia,3,"[1967.0, 1969.0, 2013.0]"
Quartet,3,"[1948.0, 1981.0, 2012.0]"
Rampage,3,"[1986.0, 1987.0, 2009.0]"
Crawlspace,3,"[1986.0, 2012.0, 2013.0]"
Crazy Love,3,"[1987.0, 1993.0, 2007.0]"
Crime and Punishment,3,"[1935.0, 1983.0, 2002.0]"
The Lone Ranger,3,"[1938.0, 1956.0, 2013.0]"
The Lost World,3,"[1925.0, 1960.0, 2001.0]"
The Last Man on Earth,3,"[1964.0, 2011.0, 2014.0]"
The Last of the Mohicans,3,"[1920.0, 1936.0, 1992.0]"
The Legend of Sleepy Hollow,3,"[1949.0, 1980.0, 1999.0]"
The Neighbor,3,"[1993.0, 2008.0, 2016.0]"
The Mask,3,"[1961.0, 1988.0, 1994.0]"
The Matchmaker,3,"[1958.0, 1997.0, 2010.0]"
The Message,3,"[1976.0, 1977.0, 2009.0]"
The Milky Way,3,"[1936.0, 1969.0, 2007.0]"
Arabian Nights,3,"[1942.0, 1974.0, 2000.0]"
Arena,3,"[1953.0, 1989.0, 2011.0]"
Armageddon,3,"[1977.0, 1997.0, 1998.0]"
Oblivion,3,"[1994.0, 2008.0, 2013.0]"
Obsessed,3,"[1992.0, 2002.0, 2009.0]"
Nightfall,3,"[1957.0, 1999.0, 2012.0]"
Nightmare,3,"[1956.0, 1964.0, 1981.0]"
Neighbors,3,"[1920.0, 1981.0, 2014.0]"
Party Girl,3,"[1958.0, 1995.0, 2014.0]"
Pennies from Heaven,3,"[1936.0, 1978.0, 1981.0]"
Persuasion,3,"[1971.0, 1995.0, 2007.0]"
Phantom,3,"[1922.0, 2013.0, 2015.0]"
Phoenix,3,"[1995.0, 1998.0, 2014.0]"
Crossroads,3,"[1942.0, 1986.0, 2002.0]"
D.O.A.,3,"[1950.0, 1980.0, 1988.0]"
Oxygen,3,"[1999.0, 2009.0, 2010.0]"
Monster,3,"[2003.0, 2008.0, 2014.0]"
Montana,3,"[1950.0, 1998.0, 2008.0]"
Our Town,3,"[1940.0, 2003.0, 2007.0]"
Obsession,3,"[1949.0, 1965.0, 1976.0]"
Once a Thief,3,"[1965.0, 1991.0, 1996.0]"
Daylight,3,"[1996.0, 2011.0, 2013.0]"
Dead Awake,3,"[2001.0, 2010.0, 2017.0]"
Dead End,3,"[1937.0, 2003.0, 2012.0]"
Attila,3,"[1954.0, 2001.0, 2013.0]"
Aurora,3,"[2006.0, 2011.0, 2016.0]"
Avalon,3,"[1990.0, 2001.0, 2011.0]"
Babes in Toyland,3,"[1934.0, 1961.0, 1997.0]"
Backfire,3,"[1950.0, 1964.0, 1988.0]"
The Plague,3,"[1992.0, 2006.0, 2013.0]"
The Pack,3,"[1977.0, 2010.0, 2015.0]"
The Perils of Pauline,3,"[1914.0, 1947.0, 1967.0]"
Animals,3,"[2008.0, 2012.0, 2014.0]"
Anita,3,"[1972.0, 2009.0, 2013.0]"
Deranged,3,"[1974.0, 2012.0]"
Max,3,"[1994.0, 2002.0, 2015.0]"
Madhouse,3,"[1974.0, 1981.0, 2004.0]"
Next of Kin,3,"[1982.0, 1984.0, 1989.0]"
Night Train,3,"[1959.0, 2008.0, 2009.0]"
Night Watch,3,"[1973.0, 2004.0, 2005.0]"
Night and Day,3,"[1946.0, 1991.0, 2008.0]"
Deadfall,3,"[1968.0, 1993.0, 2012.0]"
Delirium,3,"[1972.0, 2014.0]"
Naked,3,"[1993.0, 2000.0, 2014.0]"
